id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9gzRSjZTvOY,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UCnlraOPRHtWBmBgAnIhip8w,@carlos29gonzalez.72,https://yt3.ggpht.com/ytc/AIdro_mVxdjvFB3v1dzLOIsJM_t2s9aBAbsXkuGCXXxujorox0k=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:20:40,no   solo   colombia   tambien    peru   y   ecuador,11,true,,
UgxvbxgzRzSSRF-0TLF4AaABAg,,oMsLffZuMe8,UCLJW-YbcSd68-OLp7CM2flg,@mariagmartinez2492,https://yt3.ggpht.com/ytc/AIdro_nu0IQDMzFnuL4osx2yh1oZlx1D-mjVgzt3Vt-l2OE=s48-c-k-c0x00ffffff-no-rj,2022-10-31T11:02:42,Gracias !! Bravo guatemala!!,10,false,0,
Ugzayp6U0fIeUA1T54x4AaABAg,,oMsLffZuMe8,UCVUPvhzJ-F0Hbi-JyPbQCCQ,@laralupp2475,https://yt3.ggpht.com/ytc/AIdro_md5VUxzH5yjyJv_IEGemehUPXnmQvty_gdK0OWc6XAOS-XVJ0B1M0OaXt1Bsp6kPB0PA=s48-c-k-c0x00ffffff-no-rj,2022-10-10T01:40:40,"Que mal que los países de Guatemala y México persigan a los venezolanos impidiendoles cruzar a USA , más porque ellis si están pasando una situación de  necesidad y una dictadura de las más nefastas.",10,false,13,
UgwLStav-n00CJGN_Nt4AaABAg,,oMsLffZuMe8,UCKevheOJpmOwKulkXHEu4hw,@miriambarrenechea9453,https://yt3.ggpht.com/ytc/AIdro_m5DHdJOQs40hzoitGNZg5x-fmV6OYmJoszNAslGR0idT_rVnRjRUDprHsTC8XFm7CrIA=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:36:29,Pues es que luego nada más andan haciendo actividades ilicitas y por eso hartan ala gente.,10,false,0,
UgzbN3jHf7Hg0l6iJ1l4AaABAg.9gzLWzRQ6Z49gzNZFU845H,UgzbN3jHf7Hg0l6iJ1l4AaABAg,oMsLffZuMe8,UC2YtEBdU4inpcouWxvUiPug,@elgatopandita988,https://yt3.ggpht.com/Gy4C1DWm6x4kOOWsLcelDQ4GXvMno7F5t9VwagvzT8DtKd5iEc8n6NRQq295TfTZXwyqVbW3fw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:46:36,@@patriciacastro8712 Patricia porfavor no escribas.,10,true,,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9gzXOhB8DoH,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UC9lirsgM7KMz5wqkj1X2afg,@NN-mi8hv,https://yt3.ggpht.com/ytc/AIdro_m-ZryWXwxoP8trL_0Ebci-5cOaR1_VPnf2fW-IQxg=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:12:33,@@elgatopandita988 ya hasta demandan en pais ajeno.,10,true,,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9h0ilMhRzhl,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UCRLRRqCbub34je8q-877d2A,@Omar-wt2lg,https://yt3.ggpht.com/ytc/AIdro_nlMW2g2vaj9BmyJqTtszEMaIchTWg3L3dfzkjfju8=s48-c-k-c0x00ffffff-no-rj,2022-10-10T18:39:07,"@@JDHLEVOLUTION El problema de la migración es una realidad. Venir a comentar y ufanarte de lograr cosas tan triviales como lo que describes es, de hecho, una payasada.",10,true,,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9gzYxYFJD0T,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UC2YtEBdU4inpcouWxvUiPug,@elgatopandita988,https://yt3.ggpht.com/Gy4C1DWm6x4kOOWsLcelDQ4GXvMno7F5t9VwagvzT8DtKd5iEc8n6NRQq295TfTZXwyqVbW3fw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:26:10,"@@NN-mi8hv piden casa, comida, servicios que usted ni yo tenemos!",9,true,,
UgxIr910F-ryXVET6WJ4AaABAg,,oMsLffZuMe8,UCVtLYlhuyt1REko3pSYmHGQ,@juanjoserendon5913,https://yt3.ggpht.com/ytc/AIdro_nbnIwyYsF5KGzS2pWd-Bbv2zgtWKXIXYtKtnh9Q669BzQAGM9gxLELfbqgp3aEheu7BQ=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:41:42,Hay Venezuela es un dolor de cabeza para México,8,false,3,
UgxmAFKO_jfw5fuYZi54AaABAg.9gzX-ldTNqb9h3Ln9naqlV,UgxmAFKO_jfw5fuYZi54AaABAg,oMsLffZuMe8,UCmmUF-SwirCTndcFJnNDBhA,@victoracevedo6636,https://yt3.ggpht.com/ytc/AIdro_k3wsglr5hvzZ1zfojOPc0ix20bDP7M4YOQPmd5P8A=s48-c-k-c0x00ffffff-no-rj,2022-10-11T19:07:22,@@lucelidacaicedo1661 usted esta mal lo que esta mal no se puede apollar si usted no tiene papel es logico que no puede inmigar a otro pais,8,true,,
