id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgzNbyG1dFTDbbbwEmR4AaABAg.9owwEgfG2vD9ozVjX89MEa,UgzNbyG1dFTDbbbwEmR4AaABAg,Zxn6d7Om21k,UCjln30KPEfsxu-1LPiTLd4Q,@xtremegold2950,https://yt3.ggpht.com/ytc/AIdro_lJ2X9-wYSpBFNtbx5z_0WB5g12Hw5R6O59bC--Fp7-VJjWrr9yGgWS3igtr386MooGaA=s48-c-k-c0x00ffffff-no-rj,2023-04-26T18:09:12,@@David-co3wf esa visa solo seria temporal..por turista. NO POR TRABAJO.  si se le otorga..  NO se pueden quedar y no pueden trabajar . solo 1 mes de turismo .. si alguno  rompen el limite de dias..comete el delito.  y se le anularia a todos los peruanos,3,true,,
UgztdDwhqZuV1tPpuFd4AaABAg.9p0CXY4zp_X9p7lGBxcFvP,UgztdDwhqZuV1tPpuFd4AaABAg,Zxn6d7Om21k,UCU_fV2WwT_kPs0rVscNYjAw,@XXL-jh9ff,https://yt3.ggpht.com/ytc/AIdro_k5LLs1XW4c8lOzGmvoWfmM1NNpPr9TR2OQnjeizLV1no64V9VAl-J3dX4UPpkd4JsAhg=s48-c-k-c0x00ffffff-no-rj,2023-04-30T08:26:46,"@@marthaorellana9026 si hay tanto trabajo, con el 70% de sus habitantes trabajan en la economía informal, no te engañes tu misma.",3,true,,
UgztdDwhqZuV1tPpuFd4AaABAg.9p0CXY4zp_X9pWF2XjxxzQ,UgztdDwhqZuV1tPpuFd4AaABAg,Zxn6d7Om21k,UCOEHZcdItVR9KjK8ZM6lxAQ,@JoseManuel-vm7zd,https://yt3.ggpht.com/tvc1mYTsIikm5bB41TlMATEaMmt8IjPRyn58lAOSowkHAhClq-2x0C4uJx2QwPtfecs7pcl6bA=s48-c-k-c0x00ffffff-no-rj,2023-05-09T20:37:34,@@XXL-jh9ff porque quieres y no te esfuerzas no esperes que te caiga maná del cielo😠😡,3,true,,
Ugzs2VVPH-6HZKoluC94AaABAg,,Zxn6d7Om21k,UCIPPEhAEL2Hbt90u89i_XIw,@guayaquil5408,https://yt3.ggpht.com/tD1dPaiUYZ3w6Sja4clD-BqrP8k7kE00slYJvgRQW5cWDnpBXYNA1yvt1CbNOpg3q15coICpuA=s48-c-k-c0x00ffffff-no-rj,2023-07-26T11:21:15,"imaginense si hubiese un puente en el estrecho de bering, los venecos irian por el sueño europeo 😂",2,false,0,
UgxvT4Ex5Dh3MiNoqT94AaABAg,,Zxn6d7Om21k,UC7ul-baUipnBvYSWRAafdxA,@JULIAN1970ful,https://yt3.ggpht.com/ytc/AIdro_nMhOWYv_2jBPvZ-DFg_lyGUTYbDGLcNeZCBohT6Oo=s48-c-k-c0x00ffffff-no-rj,2023-07-24T01:35:38,Por favor USA y CANADA recibanlos a todos para que no regresen a mi pais!!!!🙏,2,false,0,
Ugz44lyBg8fjyJ-wPxt4AaABAg,,Zxn6d7Om21k,UCyfR9mzNmEEKaQA5zM1wU0Q,@georgesanjur683,https://yt3.ggpht.com/ytc/AIdro_mOub1xmEQ-u2o4dek6t9129EBVUgVOI6-gBii3SW3UAg=s48-c-k-c0x00ffffff-no-rj,2023-04-30T16:50:31,Será que en USA les regalan todo hasta la plata sin trabajar,2,false,1,
UgyGhW3Oklxiw-dSJLp4AaABAg,,Zxn6d7Om21k,UCzMAhIzkECCYaXuKDVV6E3g,@janetdiaz4074,https://yt3.ggpht.com/ytc/AIdro_m3yH3CkDYbBlrEro0QnKb_ItobeFHLwKuQcGuP0f6Bn7OoKZ8W5OF5gGcuK2Gkd9LxEg=s48-c-k-c0x00ffffff-no-rj,2023-04-28T03:21:35,Infórmate y no seas malo en Estados Unidos no hay entrada la gente se está muriendo en Mexico si están recibiendo les da casa y trabajo,2,false,0,
Ugyeh-gHt-KaPE4LdV14AaABAg,,Zxn6d7Om21k,UCpdDv8GhHSpAvSj-qA2Uutg,@juandiazvasquez8947,https://yt3.ggpht.com/ytc/AIdro_n3GEui3NvrGeXfwkWEmQIes9-ane9wCz9F6ZcpiBk=s48-c-k-c0x00ffffff-no-rj,2023-04-27T10:49:12,"Si todos los venezolanos, no se unen toda la población, en contra de maduro, seguirá el éxodo.",2,false,0,
UgwzU-vmhyYu60bdrfl4AaABAg,,Zxn6d7Om21k,UCJC1NeIvBfeV3emvv5eOUcg,@cazaputas_42.,https://yt3.ggpht.com/ytc/AIdro_lq8fLbRGc_Fo0th8MbfiWUdofbKtNCAM5iWgVmDutVns8=s48-c-k-c0x00ffffff-no-rj,2023-04-25T18:42:23,QQUiiiiiiiTTTTT tan traaaBAAAAAJJJJ joooooo !!!<br><br>Quiii quita el trabajouuu,2,false,1,
UgzNbyG1dFTDbbbwEmR4AaABAg,,Zxn6d7Om21k,UCTaVA03g-E0gvrdnUnNmR-g,@seguridadindustrial1979,https://yt3.ggpht.com/ytc/AIdro_l5_bXwY5V3yzuM2Ie5QNHZuRjju6eGy0vjigw0czE=s48-c-k-c0x00ffffff-no-rj,2023-04-25T18:11:49,"No solo venezolanos, los peruanos también queremos irnos para allá",2,false,14,
